Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Kirby,Cloud,2,1,0,2,16,2.92,-1,17.795
Kirby,Peach,3,1,0,2,60,2.7,0,20.495
Kirby,Duck Hunt,1,1,0,2,102,2.49,0,22.985
Kirby,Pit,2,1,0,2,0,3.0,0,25.985
Kirby,Greninja,3,1,0,3,88,3.56,-1,29.545
Kirby,Inkling,4,1,0,1,133,1.335,0,30.880000000000003
Kirby,Sonic,1,1,0,3,95,3.525,-2,34.405
Kirby,Lucas,2,1,0,2,110,2.45,0,36.855000000000004
Kirby,Banjo & Kazooie,3,1,0,1,61,1.695,1,38.550000000000004
Kirby,Bayonetta,4,1,0,3,132,3.34,0,41.89
Shulk,Zelda,1,1,0,2,107,2.465,0,2.465
Shulk,Roy,2,1,0,2,54,2.73,0,5.195
Shulk,Link,3,0,1,-1,77,0.385,1,5.58
Shulk,Terry,1,1,0,1,0,2.0,1,7.58
Shulk,Duck Hunt,2,1,0,1,0,2.0,2,9.58
Shulk,Link,3,1,0,1,35,1.825,1,11.405
Shulk,Meta Knight,1,0,1,-1,95,0.475,2,11.879999999999999
Luigi,Inkling,1,1,0,1,102,1.49,2,1.49
Luigi,Sheik,2,1,0,2,52,2.74,1,4.23
Luigi,Greninja,3,1,0,1,139,1.305,2,5.535
Luigi,Lucario,4,1,0,1,53,1.735,1,7.2700000000000005
Luigi,Isabelle,1,1,0,1,86,1.57,0,8.84
Luigi,Peach,2,1,0,1,58,1.71,1,10.55
Luigi,Pikachu,3,1,0,2,27,2.865,2,13.415000000000001
Luigi,Falco,1,1,0,2,7,2.965,0,16.380000000000003
Luigi,Hero,2,1,0,2,50,2.75,-1,19.130000000000003
Luigi,Jigglypuff,3,1,0,2,98,2.51,2,21.64
Luigi,Fox,1,1,0,2,16,2.92,2,24.560000000000002
Luigi,Dark Pit,2,1,0,1,47,1.765,1,26.325
Luigi,Joker,3,1,0,1,13,1.935,-1,28.26
Luigi,Pichu,4,1,0,2,0,3.0,1,31.26
Luigi,Diddy Kong,1,1,0,3,166,3.17,0,34.43
Luigi,Byleth,2,1,0,1,72,1.64,2,36.07
Luigi,Ness,3,1,0,1,0,2.0,-1,38.07
Robin,Olimar,1,1,0,1,0,2.0,-3,2.0
Robin,Pikachu,2,1,0,1,110,1.45,1,3.45
Robin,Luigi,3,1,0,1,48,1.76,-2,5.21
Robin,Meta Knight,1,1,0,1,17,1.915,-2,7.125
Robin,Mega Man,2,1,0,2,27,2.865,-2,9.99
Robin,Mr Game & Watch,3,1,0,2,47,2.765,-2,12.755
Robin,Byleth,1,0,1,-1,5,0.025,-3,12.780000000000001
Robin,Zelda,1,1,0,1,0,2.0,0,14.780000000000001
Robin,Marth,2,0,1,-2,90,-0.55,1,14.23
Zero Suit Samus,Byleth,1,1,0,2,123,2.385,0,2.385
Zero Suit Samus,Peach,2,1,0,1,45,1.775,-1,4.16
Zero Suit Samus,Lucas,3,1,0,1,27,1.865,2,6.0249999999999995
Zero Suit Samus,Shulk,1,1,0,1,89,1.555,-2,7.58
Zero Suit Samus,Yoshi,2,1,0,1,63,1.685,-1,9.265
Zero Suit Samus,Marth,3,1,0,1,73,1.635,1,10.9
Zero Suit Samus,King Dedede,1,0,1,-1,123,0.615,2,11.515
Pyra & Mythra,Bowser Jr,1,1,0,1,30,1.85,1,1.85
Pyra & Mythra,Pichu,2,1,0,1,55,1.725,0,3.575
Pyra & Mythra,Donkey Kong,3,1,0,1,93,1.535,0,5.11
Pyra & Mythra,Ness,4,1,0,2,106,2.47,1,7.58
Pyra & Mythra,Rob,5,1,0,2,117,2.415,0,9.995000000000001
Pyra & Mythra,Diddy Kong,1,1,0,2,56,2.72,-1,12.715
Pyra & Mythra,Bowser Jr,2,1,0,1,26,1.87,1,14.585
Pyra & Mythra,Kazuya,3,0,1,-1,49,0.245,0,14.83
Pyra & Mythra,Marth,1,1,0,3,110,3.45,0,18.28
Pyra & Mythra,ROB,2,1,0,3,189,3.055,0,21.335
Pyra & Mythra,Ice Climbers,3,1,0,2,0,3.0,1,24.335
Pyra & Mythra,Bowser,4,0,1,-1,99,0.495,2,24.830000000000002
Pyra & Mythra,Diddy Kong,1,1,0,3,189,3.055,-1,27.885
Pyra & Mythra,Sonic,2,1,0,2,80,2.6,0,30.485
Pyra & Mythra,Peach,3,1,0,2,35,2.825,1,33.31
Pyra & Mythra,Pit,4,1,0,3,110,3.45,-1,36.760000000000005
Pyra & Mythra,Toon Link,1,1,0,3,165,3.175,2,39.935
Pyra & Mythra,Inkling,2,1,0,1,0,2.0,2,41.935
Pyra & Mythra,Ness,3,1,0,2,53,2.735,1,44.67
Pyra & Mythra,Ice Climbers,4,1,0,2,13,2.935,1,47.605000000000004
Inkling,Rosalina & Luma,1,1,0,2,116,2.42,-2,2.42
Inkling,Young Link,2,1,0,1,0,2.0,0,4.42
Inkling,Richter,3,1,0,1,111,1.445,-1,5.865
Inkling,Roy,1,1,0,1,71,1.645,-1,7.51
Inkling,Samus,2,1,0,2,79,2.605,0,10.115
Inkling,Simon,3,1,0,2,112,2.44,1,12.555
Inkling,Kazuya,4,0,1,-1,73,0.365,-1,12.92
Inkling,Lucas,1,1,0,2,43,2.785,3,15.705
Inkling,Kirby,2,1,0,1,72,1.64,0,17.345
Inkling,Young Link,3,1,0,3,155,3.225,0,20.57
Inkling,Simon,1,0,1,-2,158,-0.21,1,20.36
